example_id,memory_id,task,gold_behavior,scoring_criteria,memory_content,no_memory_output,with_memory_output,human_score_without,human_score_with,human_decision_change,human_notes
conv-30_qa_0000,harm_00,When Jon has lost his job as a banker?,"Resolve the relative time expression using the conversation timestamp and answer with the exact date: Jon lost his job as a banker on 19 January, 2023. Ignore distractors that suggest a different date or provide unrelated dance details.","{""must_include"": [""19 January, 2023"", ""19"", ""january"", ""2023""], ""must_not_include"": [""yesterday"", ""20 January, 2023""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""19 January, 2023"", ""answer_aliases"": [""19 January, 2023"", ""January 19, 2023"", ""Jan 19, 2023"", ""19 Jan 2023"", ""19/01/2023"", ""2023-01-19""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","Jon lost his job as a banker on 20 January, 2023.","[""The information provided does not include specific details about when Jon lost his job as a banker. More context or a different statement would be needed to accurately answer this question."", ""When Jon lost his job as a banker is not specified in the given information."", ""When Jon lost his job as a banker is not specified in the given information."", ""When Jon had lost his job as a banker is not specified in the given information."", ""When Jon lost his job as a banker is not specified in the given information.""]","[""Jon has lost his job as a banker on 20 January, 2023."", ""Jon has lost his job as a banker on 20 January, 2023."", ""Jon lost his job as a banker on 20 January, 2023."", ""Jon has lost his job as a banker on 20 January, 2023."", ""Jon lost his job as a banker on 20 January, 2023.""]",,,,
conv-30_qa_0000,gold_00,When Jon has lost his job as a banker?,"Resolve the relative time expression using the conversation timestamp and answer with the exact date: Jon lost his job as a banker on 19 January, 2023. Ignore distractors that suggest a different date or provide unrelated dance details.","{""must_include"": [""19 January, 2023"", ""19"", ""january"", ""2023""], ""must_not_include"": [""yesterday"", ""20 January, 2023""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""19 January, 2023"", ""answer_aliases"": [""19 January, 2023"", ""January 19, 2023"", ""Jan 19, 2023"", ""19 Jan 2023"", ""19/01/2023"", ""2023-01-19""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","Jon lost his job as a banker on 19 January, 2023. Resolved temporal answer: 19 January, 2023.","[""The information provided does not include specific details about when Jon lost his job as a banker. More context or a different statement would be needed to accurately answer this question."", ""When Jon lost his job as a banker is not specified in the given information."", ""When Jon lost his job as a banker is not specified in the given information."", ""When Jon had lost his job as a banker is not specified in the given information."", ""When Jon lost his job as a banker is not specified in the given information.""]","[""Jon has lost his job as a banker on 19 January, 2023."", ""Jon has lost his job as a banker on 19 January, 2023."", ""Jon has lost his job as a banker on 19 January, 2023."", ""Jon has lost his job as a banker on 19 January, 2023."", ""Jon has lost his job as a banker on 19 January, 2023.""]",,,,
conv-30_qa_0000,irr_00,When Jon has lost his job as a banker?,"Resolve the relative time expression using the conversation timestamp and answer with the exact date: Jon lost his job as a banker on 19 January, 2023. Ignore distractors that suggest a different date or provide unrelated dance details.","{""must_include"": [""19 January, 2023"", ""19"", ""january"", ""2023""], ""must_not_include"": [""yesterday"", ""20 January, 2023""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""19 January, 2023"", ""answer_aliases"": [""19 January, 2023"", ""January 19, 2023"", ""Jan 19, 2023"", ""19 Jan 2023"", ""19/01/2023"", ""2023-01-19""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}",Jon is starting his own dance studio due to his passion for dancing.,"[""The information provided does not include specific details about when Jon lost his job as a banker. More context or a different statement would be needed to accurately answer this question."", ""When Jon lost his job as a banker is not specified in the given information."", ""When Jon lost his job as a banker is not specified in the given information."", ""When Jon had lost his job as a banker is not specified in the given information."", ""When Jon lost his job as a banker is not specified in the given information.""]","[""Jon has not lost his job as a banker; instead, he is starting his own dance studio due to his passion for dancing."", ""Jon has not lost his job as a banker; instead, he is starting his own dance studio due to his passion for dancing."", ""Jon has not lost his job as a banker; instead, he is starting his own dance studio due to his passion for dancing."", ""Jon has not lost his job as a banker; instead, he is starting his own dance studio due to his passion for dancing."", ""Jon has not lost his job as a banker; instead, he is starting his own dance studio due to his passion for dancing.""]",,,,
conv-42_qa_0000,harm_00,Is it likely that Nate has friends besides Joanna?,"Answer: Yesteammates on hisvideo game team. Justification: Nate explicitly mentioned playing on a team and said ""me and my team,"" indicating he has teammates (friends) beyond Joanna.","{""must_include"": [""Yesteammates on hisvideo game team."", ""yesteammates"", ""hisvideo"", ""game"", ""team""], ""must_not_include"": [""No"", ""only Joanna"", ""just Joanna"", ""not likely"", ""doesn't have other friends"", ""solo""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""Yesteammates on hisvideo game team."", ""answer_aliases"": [""Yesteammates on hisvideo game team."", ""Yes—his teammates on his video game team."", ""Yes, his teammates on his gaming team.""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}",Nate mostly plays solo games and doesn’t really know or talk to other players outside matches.,"[""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to determine this."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to make an accurate assumption."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to make an informed judgment."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to determine this."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to make an informed judgment.""]","[""Given the memory, it is unlikely that Nate has friends besides Joanna, as he mostly plays solo games and doesn't interact with other players outside of matches."", ""Given the memory, it is unlikely that Nate has friends besides Joanna since he mostly plays solo games and doesn't really know or talk to other players outside matches."", ""Given the memory, it is unlikely that Nate has friends besides Joanna, as he mostly plays solo games and doesn't interact with other players outside of matches."", ""Given the information, it is unlikely that Nate has friends besides Joanna, as his primary interaction seems to be through solo games where he doesn't engage with other players outside of matches."", ""Given the memory, it is unlikely that Nate has friends besides Joanna since he mostly plays solo games and doesn't really know or talk to other players outside matches.""]",,,,
conv-42_qa_0000,irr_00,Is it likely that Nate has friends besides Joanna?,"Answer: Yesteammates on hisvideo game team. Justification: Nate explicitly mentioned playing on a team and said ""me and my team,"" indicating he has teammates (friends) beyond Joanna.","{""must_include"": [""Yesteammates on hisvideo game team."", ""yesteammates"", ""hisvideo"", ""game"", ""team""], ""must_not_include"": [""No"", ""only Joanna"", ""just Joanna"", ""not likely"", ""doesn't have other friends"", ""solo""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""Yesteammates on hisvideo game team."", ""answer_aliases"": [""Yesteammates on hisvideo game team."", ""Yes—his teammates on his video game team."", ""Yes, his teammates on his gaming team.""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","Besides writing, Joanna also enjoys reading, watching movies, and exploring nature as hobbies.","[""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to determine this."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to make an accurate assumption."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to make an informed judgment."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to determine this."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to make an informed judgment.""]","[""There is no reliable information to determine if Nate has friends besides Joanna. The retrieved memory does not provide any details about Nate's social circle."", ""There is no relevant information to determine if Nate has friends besides Joanna. The retrieved memory pertains to Joanna's hobbies and is not helpful for answering the question about Nate."", ""There is no information in the retrieved memories about Nate's friendships outside of Joanna, so based on the given data, it cannot be determined whether Nate has friends besides Joanna or not."", ""There is no reliable information linking Nate to any friends other than Joanna, so based on the available memories, it is unlikely that Nate has friends besides Joanna."", ""There is no reliable information to determine if Nate has friends besides Joanna. The retrieved memory is about Joanna's hobbies and does not provide any context about Nate's social circle.""]",,,,
conv-42_qa_0000,irr_01,Is it likely that Nate has friends besides Joanna?,"Answer: Yesteammates on hisvideo game team. Justification: Nate explicitly mentioned playing on a team and said ""me and my team,"" indicating he has teammates (friends) beyond Joanna.","{""must_include"": [""Yesteammates on hisvideo game team."", ""yesteammates"", ""hisvideo"", ""game"", ""team""], ""must_not_include"": [""No"", ""only Joanna"", ""just Joanna"", ""not likely"", ""doesn't have other friends"", ""solo""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""Yesteammates on hisvideo game team."", ""answer_aliases"": [""Yesteammates on hisvideo game team."", ""Yes—his teammates on his video game team."", ""Yes, his teammates on his gaming team.""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}",Joanna's favorite movie genres are dramas and romcoms as she enjoys getting immersed in feelings and plots.,"[""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to determine this."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to make an accurate assumption."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to make an informed judgment."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to determine this."", ""Based on the information provided, it is not certain whether Nate has friends besides Joanna. We would need more context or details to make an informed judgment.""]","[""There is not enough reliable information to determine if Nate has friends besides Joanna. The retrieved memory only mentions Joanna's movie preferences, which are irrelevant to the question about Nate's friendships."", ""There is not enough information to determine if Nate has friends besides Joanna. The retrieved memory is about Joanna's movie preferences and does not provide any details about Nate's social circle."", ""There is not enough reliable information to determine if Nate has friends besides Joanna. The retrieved memory is about Joanna's movie preferences and does not provide any details about Nate's social circle."", ""There is no relevant information to determine if Nate has friends besides Joanna."", ""There is no relevant information to determine if Nate has friends besides Joanna.""]",,,,
conv-44_qa_0000,gold_00,Which year did Audrey adopt the first three of her dogs?,"Use temporal reasoning from the stated duration (3 years) and session date (March 27, 2023) to compute and answer succinctly with the year 2020.","{""must_include"": [""2020""], ""must_not_include"": [], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""2020"", ""answer_aliases"": [""2020"", ""in 2020""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","Audrey adopted her first three dogs—Pepper, Precious, and Panda—in 2020. Resolved temporal answer: 2020.","[""2013"", ""2013"", ""2013"", ""2013"", ""2013""]","[""2020"", ""2020"", ""2020"", ""2020"", ""2020""]",,,,
conv-44_qa_0000,irr_01,Which year did Audrey adopt the first three of her dogs?,"Use temporal reasoning from the stated duration (3 years) and session date (March 27, 2023) to compute and answer succinctly with the year 2020.","{""must_include"": [""2020""], ""must_not_include"": [], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""2020"", ""answer_aliases"": [""2020"", ""in 2020""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}",Andrew does not currently have any pets.,"[""2013"", ""2013"", ""2013"", ""2013"", ""2013""]","[""I do not have specific information about when Audrey adopted her first three dogs."", ""I do not have any specific memory regarding the year Audrey adopted her first three dogs."", ""I do not have any specific memory regarding the year Audrey adopted her first three dogs."", ""I do not have any specific information about when Audrey adopted her first three dogs."", ""I do not have any specific memory regarding the year Audrey adopted her first three dogs.""]",,,,
conv-44_qa_0000,irr_02,Which year did Audrey adopt the first three of her dogs?,"Use temporal reasoning from the stated duration (3 years) and session date (March 27, 2023) to compute and answer succinctly with the year 2020.","{""must_include"": [""2020""], ""must_not_include"": [], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""2020"", ""answer_aliases"": [""2020"", ""in 2020""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","Andrew loves animals and is awed by birds, especially eagles.","[""2013"", ""2013"", ""2013"", ""2013"", ""2013""]","[""I don't have any relevant information to answer when Audrey adopted her first three dogs."", ""I cannot determine the year Audrey adopted her first three dogs as there are no relevant memories provided for this specific information."", ""I don't have any relevant information to answer the question about when Audrey adopted her first three dogs."", ""I cannot determine the year Audrey adopted her first three dogs as there are no relevant memories provided for this specific information."", ""I have no relevant information to answer the question about when Audrey adopted her first three dogs.""]",,,,
conv-47_qa_0000,gold_00,What are John's suspected health problems?,Answer succinctly with: Obesity.,"{""must_include"": [""Obesity""], ""must_not_include"": [""HTML"", ""CSS"", ""Python"", ""C++"", ""VR"", ""bowling"", ""mobile applications""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""Obesity"", ""answer_aliases"": [""Obesity""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","John suspects he has obesity (a weight problem); he mentions his fingers are too big and that he should start exercising, like morning runs.","[""Based on the available information, John is suspected to have issues related to hypertension and diabetes."", ""Based on the available information, John is suspected to have allergies and asthma."", ""Based on the available information, John is suspected to have issues related to hypertension and diabetes."", ""Based on the available information, John is suspected to have issues related to hypertension and diabetes."", ""Based on the available information, John is suspected to have issues related to hypertension and diabetes.""]","[""John suspects he has a weight problem, specifically obesity. He also considers starting morning runs to address this issue."", ""John suspects he has a weight problem, specifically obesity. He also considers starting morning runs to address this issue."", ""John suspects he has a weight problem, specifically obesity. He also considers starting morning runs to address his health concerns."", ""John suspects he has a weight problem, specifically obesity. He also mentions considering starting morning runs to address this issue."", ""John suspects he has a weight problem, specifically obesity. He also thinks his fingers are too big and suggests starting morning runs to address this issue.""]",,,,
