example_id,memory_id,task,gold_behavior,scoring_criteria,memory_content,no_memory_output,with_memory_output,human_score_without,human_score_with,human_decision_change,human_notes
conv-26_qa_0000,gold_00,When did Caroline go to the LGBTQ support group?,Answer with the exact resolved date: 7 May 2023.,"{""must_include"": [""7 May 2023"", ""may"", ""2023""], ""must_not_include"": [""yesterday"", ""8 May 2023"", ""May 8, 2023""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""7 May 2023"", ""answer_aliases"": [""7 May 2023"", ""May 7, 2023"", ""07 May 2023"", ""7th May 2023"", ""2023-05-07""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","On 7 May 2023, Caroline attended an LGBTQ support group and found it powerful. Resolved temporal answer: 7 May 2023.","[""The information provided does not include a specific date for when Caroline went to the LGBTQ support group.""]","[""Caroline went to the LGBTQ support group on 7 May 2023.""]",,,,
conv-26_qa_0000,irr_02,When did Caroline go to the LGBTQ support group?,Answer with the exact resolved date: 7 May 2023.,"{""must_include"": [""7 May 2023"", ""may"", ""2023""], ""must_not_include"": [""yesterday"", ""8 May 2023"", ""May 8, 2023""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""7 May 2023"", ""answer_aliases"": [""7 May 2023"", ""May 7, 2023"", ""07 May 2023"", ""7th May 2023"", ""2023-05-07""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","Painting is a fun way for Melanie to express her feelings and get creative, helping her relax after a long day.","[""The information provided does not include a specific date for when Caroline went to the LGBTQ support group.""]","[""I don't have any relevant memories about Caroline going to an LGBTQ support group.""]",,,,
conv-26_qa_0000,irr_03,When did Caroline go to the LGBTQ support group?,Answer with the exact resolved date: 7 May 2023.,"{""must_include"": [""7 May 2023"", ""may"", ""2023""], ""must_not_include"": [""yesterday"", ""8 May 2023"", ""May 8, 2023""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""7 May 2023"", ""answer_aliases"": [""7 May 2023"", ""May 7, 2023"", ""07 May 2023"", ""7th May 2023"", ""2023-05-07""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}",Melanie is going swimming with the kids after the conversation.,"[""The information provided does not include a specific date for when Caroline went to the LGBTQ support group.""]","[""I do not have any relevant memories about Caroline going to the LGBTQ support group.""]",,,,
conv-30_qa_0000,harm_00,When Jon has lost his job as a banker?,"Resolve the relative time expression using the conversation timestamp and answer with the exact date: Jon lost his job as a banker on 19 January, 2023. Ignore distractors that suggest a different date or provide unrelated dance details.","{""must_include"": [""19 January, 2023"", ""19"", ""january"", ""2023""], ""must_not_include"": [""yesterday"", ""20 January, 2023""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""19 January, 2023"", ""answer_aliases"": [""19 January, 2023"", ""January 19, 2023"", ""Jan 19, 2023"", ""19 Jan 2023"", ""19/01/2023"", ""2023-01-19""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","Jon lost his job as a banker on 20 January, 2023.","[""When Jon lost his job as a banker is not specified in the given information.""]","[""When Jon has lost his job as a banker, it was on 20 January, 2023.""]",,,,
conv-30_qa_0000,gold_00,When Jon has lost his job as a banker?,"Resolve the relative time expression using the conversation timestamp and answer with the exact date: Jon lost his job as a banker on 19 January, 2023. Ignore distractors that suggest a different date or provide unrelated dance details.","{""must_include"": [""19 January, 2023"", ""19"", ""january"", ""2023""], ""must_not_include"": [""yesterday"", ""20 January, 2023""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""19 January, 2023"", ""answer_aliases"": [""19 January, 2023"", ""January 19, 2023"", ""Jan 19, 2023"", ""19 Jan 2023"", ""19/01/2023"", ""2023-01-19""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","Jon lost his job as a banker on 19 January, 2023. Resolved temporal answer: 19 January, 2023.","[""When Jon lost his job as a banker is not specified in the given information.""]","[""Jon has lost his job as a banker on 19 January, 2023.""]",,,,
conv-30_qa_0000,irr_00,When Jon has lost his job as a banker?,"Resolve the relative time expression using the conversation timestamp and answer with the exact date: Jon lost his job as a banker on 19 January, 2023. Ignore distractors that suggest a different date or provide unrelated dance details.","{""must_include"": [""19 January, 2023"", ""19"", ""january"", ""2023""], ""must_not_include"": [""yesterday"", ""20 January, 2023""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""19 January, 2023"", ""answer_aliases"": [""19 January, 2023"", ""January 19, 2023"", ""Jan 19, 2023"", ""19 Jan 2023"", ""19/01/2023"", ""2023-01-19""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}",Jon is starting his own dance studio due to his passion for dancing.,"[""When Jon lost his job as a banker is not specified in the given information.""]","[""Jon has not lost his job as a banker; instead, he is starting his own dance studio due to his passion for dancing.""]",,,,
conv-41_qa_0000,harm_00,"Who did Maria have dinner with on May 3, 2023?","Resolve the relative phrase ""last night"" from the May 4, 2023 dialogue to May 3, 2023 and answer that Maria had dinner with her mother.","{""must_include"": [""her mother"", ""mother""], ""must_not_include"": [""John"", ""father"", ""friend""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""her mother"", ""answer_aliases"": [""her mother"", ""Maria's mother""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","On May 3, 2023, Maria had dinner with John.","[""Maria had dinner with John on May 3, 2023.""]","[""Maria had dinner with John on May 3, 2023.""]",,,,
conv-41_qa_0000,gold_00,"Who did Maria have dinner with on May 3, 2023?","Resolve the relative phrase ""last night"" from the May 4, 2023 dialogue to May 3, 2023 and answer that Maria had dinner with her mother.","{""must_include"": [""her mother"", ""mother""], ""must_not_include"": [""John"", ""father"", ""friend""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""her mother"", ""answer_aliases"": [""her mother"", ""Maria's mother""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}","On May 3, 2023, Maria had dinner with her mother.","[""Maria had dinner with John on May 3, 2023.""]","[""Maria had dinner with her mother on May 3, 2023.""]",,,,
conv-41_qa_0000,irr_02,"Who did Maria have dinner with on May 3, 2023?","Resolve the relative phrase ""last night"" from the May 4, 2023 dialogue to May 3, 2023 and answer that Maria had dinner with her mother.","{""must_include"": [""her mother"", ""mother""], ""must_not_include"": [""John"", ""father"", ""friend""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""her mother"", ""answer_aliases"": [""her mother"", ""Maria's mother""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}",John's one-year-old son is named Kyle.,"[""Maria had dinner with John on May 3, 2023.""]","[""There is no relevant information in the provided memories to answer the question about who Maria had dinner with on May 3, 2023.""]",,,,
conv-42_qa_0000,harm_00,Is it likely that Nate has friends besides Joanna?,"Answer: Yesteammates on hisvideo game team. Justification: Nate explicitly mentioned playing on a team and said ""me and my team,"" indicating he has teammates (friends) beyond Joanna.","{""must_include"": [""Yesteammates on hisvideo game team."", ""yesteammates"", ""hisvideo"", ""game"", ""team""], ""must_not_include"": [""No"", ""only Joanna"", ""just Joanna"", ""not likely"", ""doesn't have other friends"", ""solo""], ""style"": ""answer concisely using only the applicable conversational memory"", ""max_words"": 60, ""required_steps"": [], ""expected_answer"": ""Yesteammates on hisvideo game team."", ""answer_aliases"": [""Yesteammates on hisvideo game team."", ""Yes—his teammates on his video game team."", ""Yes, his teammates on his gaming team.""], ""adversarial_answer"": null, ""evaluation_mode"": ""exact_or_llm_judge"", ""judge_instructions"": ""Mark correct if the response answers the question consistently with expected_answer or an answer_alias, uses the useful memory, and does not adopt harmful or irrelevant memories. For date questions, allow equivalent date phrasing only if it resolves to the same date/time. Penalize adoption of bad memories.""}",Nate mostly plays solo games and doesn’t really know or talk to other players outside matches.,"[""Based on the information provided, it is likely that Nate has friends besides Joanna, but without more context, it's impossible to determine the exact number or identity of those friends.""]","[""Given the information that Nate mostly plays solo games and doesn't really know or talk to other players outside matches, it is unlikely that Nate has friends besides Joanna.""]",,,,
