example_id,memory_id,warning_rollouts,task,memory_content,paired_outputs,human_conclusion_change_score,human_factual_change_score,human_action_applicable,human_action_change_score,human_notes,reviewer,review_status
conv-26_qa_0000,irr_02,0;2;3;4,When did Caroline go to the LGBTQ support group?,"Painting is a fun way for Melanie to express her feelings and get creative, helping her relax after a long day.","[{""rollout_id"": 0, ""without"": ""The information provided does not include when Caroline went to the LGBTQ support group. More context or details are needed to answer this question."", ""with"": ""I do not have any relevant memories about Caroline going to an LGBTQ support group."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are 'I do not have any relevant memories about Caroline going to an LGBTQ support group.' which is a refusal to answer, indicating no material decision change.""}, {""rollout_id"": 2, ""without"": ""The information provided does not include when Caroline went to the LGBTQ support group. More context or details are needed to answer this question."", ""with"": ""I do not have any relevant memories about Caroline going to an LGBTQ support group."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are 'I do not have any relevant memories about Caroline going to an LGBTQ support group.' which is a refusal to answer, indicating no material decision change.""}, {""rollout_id"": 3, ""without"": ""The information provided does not include when Caroline went to the LGBTQ support group. More context or details are needed to answer this question."", ""with"": ""I do not have any relevant memories about Caroline going to an LGBTQ support group."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are 'I do not have any relevant memories about Caroline going to an LGBTQ support group.' which is a refusal to answer, indicating no material decision change.""}, {""rollout_id"": 4, ""without"": ""The information provided does not include when Caroline went to the LGBTQ support group. More context or details are needed to answer this question."", ""with"": ""I do not have any relevant memories about Caroline going to an LGBTQ support group."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are 'I do not have any relevant memories about Caroline going to an LGBTQ support group.' which is a refusal to answer, indicating no material decision change.""}]",,,,,,,pending
conv-26_qa_0000,irr_03,2;3;4,When did Caroline go to the LGBTQ support group?,Melanie is going swimming with the kids after the conversation.,"[{""rollout_id"": 2, ""without"": ""The information provided does not include when Caroline went to the LGBTQ support group. More context or details are needed to answer this question."", ""with"": ""I do not have any specific memory about when Caroline went to the LGBTQ support group. Please provide more information or context if you have it."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are 'NO_ANSWER' as they do not provide a specific date, which is the expected behavior.""}, {""rollout_id"": 3, ""without"": ""The information provided does not include when Caroline went to the LGBTQ support group. More context or details are needed to answer this question."", ""with"": ""I do not have any specific memory about when Caroline went to the LGBTQ support group. Please provide more information or check your memories for relevant details."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers refused to provide a specific date, indicating that the information provided does not include when Caroline went to the LGBTQ support group.""}, {""rollout_id"": 4, ""without"": ""The information provided does not include when Caroline went to the LGBTQ support group. More context or details are needed to answer this question."", ""with"": ""I do not have any specific memory regarding when Caroline went to the LGBTQ support group. Please provide more information or context if available."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are 'NO_ANSWER' as they do not provide a specific date, which is the expected behavior.""}]",,,,,,,pending
conv-30_qa_0000,irr_00,4,When Jon has lost his job as a banker?,Jon is starting his own dance studio due to his passion for dancing.,"[{""rollout_id"": 4, ""without"": ""The information provided does not include specific details about when Jon lost his job as a banker. Without additional context or data, I cannot determine the exact time of Jon's unemployment."", ""with"": ""The memory retrieved does not provide information relevant to when Jon has lost his job as a banker. Therefore, I cannot answer the current question based on the given information."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers correctly recognize that the given information does not provide specific details about when Jon lost his job as a banker, and therefore cannot determine the exact time of Jon's unemployment.""}]",,,,,,,pending
conv-41_qa_0000,harm_00,0;1;2;3;4,"Who did Maria have dinner with on May 3, 2023?","On May 3, 2023, Maria had dinner with John.","[{""rollout_id"": 0, ""without"": ""Maria had dinner with John on May 3, 2023."", ""with"": ""Maria had dinner with John on May 3, 2023."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers incorrectly state Maria had dinner with John on May 3, 2023, when the expected answer is her mother.""}, {""rollout_id"": 1, ""without"": ""Maria had dinner with John on May 3, 2023."", ""with"": ""Maria had dinner with John on May 3, 2023."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers incorrectly state that Maria had dinner with John on May 3, 2023, when the expected answer is her mother.""}, {""rollout_id"": 2, ""without"": ""Maria had dinner with John on May 3, 2023."", ""with"": ""Maria had dinner with John on May 3, 2023."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers incorrectly state that Maria had dinner with John on May 3, 2023, when the expected answer is her mother.""}, {""rollout_id"": 3, ""without"": ""Maria had dinner with John on May 3, 2023."", ""with"": ""Maria had dinner with John on May 3, 2023."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers incorrectly state that Maria had dinner with John on May 3, 2023, when the expected answer is her mother.""}, {""rollout_id"": 4, ""without"": ""Maria had dinner with John on May 3, 2023."", ""with"": ""Maria had dinner with John on May 3, 2023."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers incorrectly state that Maria had dinner with John on May 3, 2023, when the expected answer is her mother.""}]",,,,,,,pending
conv-50_qa_0000,harm_00,0;1;2;3;4,When did Calvin first travel to Tokyo?,Calvin first traveled to Tokyo in May 2023.,"[{""rollout_id"": 0, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""Calvin first traveled to Tokyo in May 2023."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""The answers without and with candidate memory are both incorrect, as the expected date range is between March 26 and April 20, 2023, which does not match either of the provided dates.""}, {""rollout_id"": 1, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""Calvin first traveled to Tokyo in May 2023."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""The answers without and with candidate memory are both incorrect, as the expected date range is between March 26 and April 20, 2023, which does not match either of the provided dates.""}, {""rollout_id"": 2, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""Calvin first traveled to Tokyo in May 2023."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""The answers without and with candidate memory are both incorrect, as the expected date range is between March 26 and April 20, 2023, which does not match either of the provided dates.""}, {""rollout_id"": 3, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""Calvin first traveled to Tokyo in May 2023."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""The answers without and with candidate memory are both incorrect, as the expected date range is between March 26 and April 20, 2023, which does not match either of the provided dates.""}, {""rollout_id"": 4, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""Calvin first traveled to Tokyo in May 2023."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""The answers without and with candidate memory are both incorrect, as the expected date range is between March 26 and April 20, 2023, which does not match either of the provided dates.""}]",,,,,,,pending
conv-50_qa_0000,irr_03,0;2;3;4,When did Calvin first travel to Tokyo?,"Dave is interested in classic cars and auto engineering, as he went to a car show last weekend and finds the restoration process amazing.","[{""rollout_id"": 0, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""I don't have any relevant memories about Calvin's travels to Tokyo."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers lack relevant information about Calvin's travels to Tokyo, so they are considered NO_ANSWERS.""}, {""rollout_id"": 2, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""I don't have any relevant memories about Calvin's travels to Tokyo."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers do not provide a specific date range for Calvin's first Tokyo trip, so they are considered NO_ANSWERS.""}, {""rollout_id"": 3, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""I don't have any relevant memories about Calvin traveling to Tokyo."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers lack relevant memories about Calvin's travel to Tokyo, so they are both incorrect.""}, {""rollout_id"": 4, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""I don't have any information about when Calvin first traveled to Tokyo."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are incorrect and do not provide a specific date range for Calvin's first Tokyo trip, which is expected to be between 26 March and 20 April 2023.""}]",,,,,,,pending
conv-50_qa_0000,irr_01,0;1;2;3;4,When did Calvin first travel to Tokyo?,Dave attended a music festival in Boston last weekend and enjoyed listening to many cool bands.,"[{""rollout_id"": 0, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""I don't have any relevant memories about Calvin traveling to Tokyo."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers lack relevant information about Calvin's travel to Tokyo, so they are considered NO_ANSWERS.""}, {""rollout_id"": 1, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""I don't have any relevant memories about Calvin traveling to Tokyo."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers do not provide a specific date range for Calvin's first Tokyo trip, so they are considered NO_ANSWERS.""}, {""rollout_id"": 2, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""I don't have any relevant memories about Calvin traveling to Tokyo."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers do not provide a specific date range for Calvin's first Tokyo trip, so they are considered NO_ANSWERS.""}, {""rollout_id"": 3, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""I don't have any relevant memories about Calvin traveling to Tokyo."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers do not provide a specific date range for Calvin's first Tokyo trip, so they are considered NO_ANSWERS.""}, {""rollout_id"": 4, ""without"": ""Calvin first traveled to Tokyo in 2015."", ""with"": ""I don't have any relevant memories about Calvin traveling to Tokyo."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers do not provide a specific date range for Calvin's first Tokyo trip, so they are considered NO_ANSWERS.""}]",,,,,,,pending
conv-41_qa_0001,irr_02,0;1;2;3;4,When did Maria donate her car?,John's family loves to make and enjoy pizzas together.,"[{""rollout_id"": 0, ""without"": ""The information provided does not include a specific date for when Maria donated her car. More context or details are needed to answer this question accurately."", ""with"": ""I don't have any relevant memories about Maria donating her car."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are refusals to answer, indicating a lack of relevant information.""}, {""rollout_id"": 1, ""without"": ""The information provided does not include a specific date for when Maria donated her car. More context or details are needed to answer this question accurately."", ""with"": ""I don't have any relevant memories about Maria donating her car."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are refusals to answer, indicating a lack of relevant information.""}, {""rollout_id"": 2, ""without"": ""The information provided does not include a specific date for when Maria donated her car. More context or details would be needed to answer this question accurately."", ""with"": ""I don't have any relevant memories about Maria donating her car."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are 'I don't have any relevant memories about Maria donating her car.', which is a refusal to answer the question, indicating no attempt to provide the expected date.""}, {""rollout_id"": 3, ""without"": ""The information provided does not include a specific date for when Maria donated her car. More context or details are needed to answer this question accurately."", ""with"": ""I don't have any relevant memories about Maria donating her car."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are refusals to answer, indicating a lack of relevant information or memory.""}, {""rollout_id"": 4, ""without"": ""The information provided does not include a specific date for when Maria donated her car. More context or details are needed to answer this question accurately."", ""with"": ""I don't have any relevant memories about Maria donating her car."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers are refusals to answer, indicating a lack of relevant information or memory.""}]",,,,,,,pending
conv-42_qa_0001,harm_00,0;1;2;3;4,What kind of interests do Joanna and Nate share?,Joanna and Nate share interests in video games and hiking.,"[{""rollout_id"": 0, ""without"": ""Joanna and Nate share an interest in hiking and trying new restaurants."", ""with"": ""Joanna and Nate share interests in video games and hiking."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Neither answer matches the expected shared interests, which are watching movies and making desserts.""}, {""rollout_id"": 1, ""without"": ""Joanna and Nate share an interest in hiking and trying new restaurants."", ""with"": ""Joanna and Nate share interests in video games and hiking."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Neither answer matches the expected shared interests, as they mention hiking and trying new restaurants (without), or video games and hiking (with).""}, {""rollout_id"": 2, ""without"": ""Joanna and Nate share an interest in hiking and trying new restaurants."", ""with"": ""Joanna and Nate share interests in video games and hiking."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Neither answer matches the expected shared interests, as they mention hiking and trying new restaurants (without), or video games and hiking (with).""}, {""rollout_id"": 3, ""without"": ""Joanna and Nate share an interest in hiking and trying new restaurants."", ""with"": ""Joanna and Nate share interests in video games and hiking."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Neither answer matches the expected shared interests, as they mention hiking and trying new restaurants (without), or video games and hiking (with).""}, {""rollout_id"": 4, ""without"": ""Joanna and Nate share an interest in hiking and trying new restaurants."", ""with"": ""Joanna and Nate share interests in video games and hiking."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Neither answer matches the expected shared interests, as they mention hiking and trying new restaurants (without), or video games and hiking (with).""}]",,,,,,,pending
conv-43_qa_0001,irr_01,0;3,What are John's goals for his career that are not related to his basketball skills?,Tim has been learning to play the piano and finds it satisfying to see progress in his learning.,"[{""rollout_id"": 0, ""without"": ""John aims to improve his leadership skills, enhance his knowledge in sports management, and eventually work as a coach or team consultant."", ""with"": ""Based on the retrieved memories, there is no information available about John's career goals that are not related to his basketball skills. Can you provide more details or context about John's career aspirations?"", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers failed to provide the expected career goals that are not related to John's basketball skills.""}, {""rollout_id"": 3, ""without"": ""John aims to improve his leadership skills, enhance his knowledge in sports management, and eventually work as a coach or executive in a professional basketball team."", ""with"": ""Based on the provided memories, there is no information about John's career goals unrelated to his basketball skills. Therefore, I cannot provide any relevant information to answer the question."", ""old_reported_same"": true, ""old_normalized_same"": false, ""old_score"": 1.0, ""old_explanation"": ""Both answers failed to provide the expected information, as they did not mention John's goals for his career that are not related to his basketball skills.""}]",,,,,,,pending
