example_id,task_family,num_memories,num_gold,num_bad,difficulty,contains_poisoned_memory,contains_conflict
spurious_000019,spurious_semantic_trap,3,1,2,hard,True,False
poisoned_000005,poisoned_memory,3,1,1,medium,True,False
multihop_000014,multi_hop_memory,3,2,0,hard,False,False
conflict_000004,conflicting_memories,3,1,2,medium,True,True
context_pref_000009,context_specific_preference,3,1,1,easy,False,False
poisoned_000013,poisoned_memory,3,1,1,medium,True,False
abstention_000015,abstention,3,0,1,easy,True,False
procedural_000018,procedural_memory,3,1,1,hard,True,False
multihop_000006,multi_hop_memory,3,2,0,hard,False,False
conflict_000012,conflicting_memories,3,1,2,medium,True,True
context_pref_000017,context_specific_preference,3,1,1,easy,False,False
procedural_000010,procedural_memory,3,1,1,hard,True,False
context_pref_000001,context_specific_preference,3,1,1,easy,False,False
spurious_000011,spurious_semantic_trap,3,1,2,hard,True,False
procedural_000002,procedural_memory,3,1,1,hard,True,False
pref_update_000016,preference_update,3,1,2,medium,True,True
abstention_000007,abstention,3,0,1,easy,True,False
pref_update_000008,preference_update,3,1,2,medium,True,True
pref_update_000000,preference_update,3,1,2,medium,True,True
spurious_000003,spurious_semantic_trap,3,1,2,hard,True,False
