example_id,task_family,num_memories,num_gold,num_bad,num_context_dependent,difficulty,contains_poisoned_memory,contains_conflict,target_memory_bank_size,llm_paraphrased
procedural_000002,procedural_memory,7,1,1,1,hard,True,False,7,False
pref_update_000000,preference_update,7,1,2,2,medium,True,True,7,False
poisoned_000013,poisoned_memory,7,1,1,2,medium,True,False,7,False
conflict_000012,conflicting_memories,7,1,2,2,medium,True,True,7,False
multihop_000014,multi_hop_memory,7,2,0,1,hard,False,False,7,False
abstention_000015,abstention,7,0,1,2,easy,True,False,7,False
pref_update_000008,preference_update,7,1,2,2,medium,True,True,7,False
poisoned_000021,poisoned_memory,7,1,1,2,medium,True,False,7,False
spurious_000011,spurious_semantic_trap,7,1,2,1,hard,True,False,7,False
poisoned_000005,poisoned_memory,7,1,1,2,medium,True,False,7,False
context_pref_000009,context_specific_preference,7,1,2,3,easy,True,False,7,False
spurious_000003,spurious_semantic_trap,7,1,2,1,hard,True,False,7,False
pref_update_000016,preference_update,7,1,2,2,medium,True,True,7,False
conflict_000004,conflicting_memories,7,1,2,2,medium,True,True,7,False
multihop_000006,multi_hop_memory,7,2,1,1,hard,True,False,7,False
spurious_000019,spurious_semantic_trap,7,1,2,1,hard,True,False,7,False
procedural_000018,procedural_memory,7,1,1,1,hard,True,False,7,False
abstention_000023,abstention,7,0,1,2,easy,True,False,7,False
context_pref_000001,context_specific_preference,7,1,2,3,easy,True,False,7,False
procedural_000010,procedural_memory,7,1,1,1,hard,True,False,7,False
abstention_000007,abstention,7,0,1,2,easy,True,False,7,False
context_pref_000017,context_specific_preference,7,1,1,3,easy,False,False,7,False
multihop_000022,multi_hop_memory,7,2,1,1,hard,True,False,7,False
conflict_000020,conflicting_memories,7,1,2,2,medium,True,True,7,False
